,Food,CO2,water,plastic,date
33,Beef (beef herd),7.954000000000001,145.12,3,2022-02-15
33,Beef (beef herd),7.954000000000001,145.12,3,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,1,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
14,Tofu,0.3,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,1,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
14,Tofu,0.3,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,1,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
14,Tofu,0.3,93.26052631578946,0,2022-02-15
0,Wheat & Rye (Bread),0.14,93.26052631578946,0,2022-02-15
